TimePeriod,GeoType,GeoID,GeoRank,Geography,Estimated annual number,"Estimated annual rate per 100,000",IndicatorID,ResultID,Result
2017-2019,UHF42,101,4,Kingsbridge - Riverdale,8,8,386,1,Death
2017-2019,UHF42,102,4,Northeast Bronx,13,6,386,1,Death
2017-2019,UHF42,103,4,Fordham - Bronx Pk,11,4,386,1,Death
2017-2019,UHF42,104,4,Pelham - Throgs Neck,16,5,386,1,Death
2017-2019,UHF42,105,4,Crotona -Tremont,8,4,386,1,Death
2017-2019,UHF42,106,4,High Bridge - Morrisania,9,4,386,1,Death
2017-2019,UHF42,107,4,Hunts Point - Mott Haven,6,4,386,1,Death
2017-2019,UHF42,201,4,Greenpoint,4,4,386,1,Death
2017-2019,UHF42,202,4,Downtown - Heights - Slope,8,3,386,1,Death
2017-2019,UHF42,203,4,Bedford Stuyvesant - Crown Heights,17,5,386,1,Death
2017-2019,UHF42,204,4,East New York,9,4,386,1,Death
2017-2019,UHF42,205,4,Sunset Park,4,3,386,1,Death
2017-2019,UHF42,206,4,Borough Park,16,5,386,1,Death
2017-2019,UHF42,207,4,East Flatbush - Flatbush,15,5,386,1,Death
2017-2019,UHF42,208,4,Canarsie - Flatlands,13,6,386,1,Death
2017-2019,UHF42,209,4,Bensonhurst - Bay Ridge,11,5,386,1,Death
2017-2019,UHF42,210,4,Coney Island - Sheepshead Bay,25,8,386,1,Death
2017-2019,UHF42,211,4,Williamsburg - Bushwick,8,4,386,1,Death
2017-2019,UHF42,301,4,Washington Heights,10,4,386,1,Death
2017-2019,UHF42,302,4,Central Harlem - Morningside Heights,8,4,386,1,Death
2017-2019,UHF42,303,4,East Harlem,6,5,386,1,Death
2017-2019,UHF42,304,4,Upper West Side,11,5,386,1,Death
2017-2019,UHF42,305,4,Upper East Side,9,4,386,1,Death
2017-2019,UHF42,306,4,Chelsea - Clinton,5,3,386,1,Death
2017-2019,UHF42,307,4,Gramercy Park - Murray Hill,5,3,386,1,Death
2017-2019,UHF42,308,4,Greenwich Village - SoHo,3,3,386,1,Death
2017-2019,UHF42,309,4,Union Square - Lower East Side,9,5,386,1,Death
2017-2019,UHF42,310,4,Lower Manhattan,1,2,386,1,Death
2017-2019,UHF42,401,4,Long Island City - Astoria,9,4,386,1,Death
2017-2019,UHF42,402,4,West Queens,17,4,386,1,Death
2017-2019,UHF42,403,4,Flushing - Clearview,15,6,386,1,Death
2017-2019,UHF42,404,4,Bayside - Little Neck,5,5,386,1,Death
2017-2019,UHF42,405,4,Ridgewood - Forest Hills,13,5,386,1,Death
2017-2019,UHF42,406,4,Fresh Meadows,5,5,386,1,Death
2017-2019,UHF42,407,4,Southwest Queens,12,4,386,1,Death
2017-2019,UHF42,408,4,Jamaica,17,5,386,1,Death
2017-2019,UHF42,409,4,Southeast Queens,8,4,386,1,Death
2017-2019,UHF42,410,4,Rockaways,11,8,386,1,Death
2017-2019,UHF42,501,4,Port Richmond,3,5,386,1,Death
2017-2019,UHF42,502,4,Stapleton - St. George,10,8,386,1,Death
2017-2019,UHF42,503,4,Willowbrook,6,7,386,1,Death
2017-2019,UHF42,504,4,South Beach - Tottenville,13,7,386,1,Death
2017-2019,Borough,1,1,Bronx,,5,386,1,Death
2017-2019,Borough,2,1,Brooklyn,,5,386,1,Death
2017-2019,Borough,3,1,Manhattan,,4,386,1,Death
2017-2019,Borough,4,1,Queens,,5,386,1,Death
2017-2019,Borough,5,1,Staten Island,,7,386,1,Death
2017-2019,Borough,,1,,33,,386,1,Death
2017-2019,Citywide,1,0,New York City,412,5,386,1,Death
2015-2017,UHF42,101,4,Kingsbridge - Riverdale,7.8,8.3,386,1,Death
2015-2017,UHF42,102,4,Northeast Bronx,12.7,6.2,386,1,Death
2015-2017,UHF42,103,4,Fordham - Bronx Pk,10.6,4,386,1,Death
2015-2017,UHF42,104,4,Pelham - Throgs Neck,15.1,4.8,386,1,Death
2015-2017,UHF42,105,4,Crotona -Tremont,7.5,3.4,386,1,Death
2015-2017,UHF42,106,4,High Bridge - Morrisania,8.6,3.9,386,1,Death
2015-2017,UHF42,107,4,Hunts Point - Mott Haven,5.2,3.6,386,1,Death
2015-2017,UHF42,201,4,Greenpoint,4.2,3.1,386,1,Death
2015-2017,UHF42,202,4,Downtown - Heights - Slope,8.2,3.2,386,1,Death
2015-2017,UHF42,203,4,Bedford Stuyvesant - Crown Heights,16.3,4.9,386,1,Death
2015-2017,UHF42,204,4,East New York,7.8,4.1,386,1,Death
2015-2017,UHF42,205,4,Sunset Park,4.2,3.1,386,1,Death
2015-2017,UHF42,206,4,Borough Park,16.6,4.8,386,1,Death
2015-2017,UHF42,207,4,East Flatbush - Flatbush,14.6,4.8,386,1,Death
2015-2017,UHF42,208,4,Canarsie - Flatlands,12.6,6,386,1,Death
2015-2017,UHF42,209,4,Bensonhurst - Bay Ridge,13.4,6.3,386,1,Death
2015-2017,UHF42,210,4,Coney Island - Sheepshead Bay,24.9,8.5,386,1,Death
2015-2017,UHF42,211,4,Williamsburg - Bushwick,8.3,3.7,386,1,Death
2015-2017,UHF42,301,4,Washington Heights,9,3.3,386,1,Death
2015-2017,UHF42,302,4,Central Harlem - Morningside Heights,8.1,4.4,386,1,Death
2015-2017,UHF42,303,4,East Harlem,6,5.2,386,1,Death
2015-2017,UHF42,304,4,Upper West Side,10.1,4.6,386,1,Death
2015-2017,UHF42,305,4,Upper East Side,8.6,3.8,386,1,Death
2015-2017,UHF42,306,4,Chelsea - Clinton,5.4,3.4,386,1,Death
2015-2017,UHF42,307,4,Gramercy Park - Murray Hill,4.7,3.6,386,1,Death
2015-2017,UHF42,308,4,Greenwich Village - SoHo,2.5,2.9,386,1,Death
2015-2017,UHF42,309,4,Union Square - Lower East Side,8.9,4.5,386,1,Death
2015-2017,UHF42,310,4,Lower Manhattan,1.6,2.7,386,1,Death
2015-2017,UHF42,401,4,Long Island City - Astoria,9.4,4.3,386,1,Death
2015-2017,UHF42,402,4,West Queens,16.7,3.5,386,1,Death
2015-2017,UHF42,403,4,Flushing - Clearview,15.3,5.8,386,1,Death
2015-2017,UHF42,404,4,Bayside - Little Neck,4.9,5.3,386,1,Death
2015-2017,UHF42,405,4,Ridgewood - Forest Hills,13.7,5.3,386,1,Death
2015-2017,UHF42,406,4,Fresh Meadows,5.3,5.1,386,1,Death
2015-2017,UHF42,407,4,Southwest Queens,11.4,3.8,386,1,Death
2015-2017,UHF42,408,4,Jamaica,16.5,5.1,386,1,Death
2015-2017,UHF42,409,4,Southeast Queens,8.7,4.1,386,1,Death
2015-2017,UHF42,410,4,Rockaways,9.6,7.7,386,1,Death
2015-2017,UHF42,501,4,Port Richmond,3.5,5.2,386,1,Death
2015-2017,UHF42,502,4,Stapleton - St. George,10.4,8.4,386,1,Death
2015-2017,UHF42,503,4,Willowbrook,6.8,7.7,386,1,Death
2015-2017,UHF42,504,4,South Beach - Tottenville,14.9,7.7,386,1,Death
2015-2017,Borough,1,1,Bronx,67.5,4.6,386,1,Death
2015-2017,Borough,2,1,Brooklyn,131.2,5,386,1,Death
2015-2017,Borough,3,1,Manhattan,64.9,3.9,386,1,Death
2015-2017,Borough,4,1,Queens,111.5,4.7,386,1,Death
2015-2017,Borough,5,1,Staten Island,35.7,7.5,386,1,Death
2015-2017,Citywide,1,0,New York City,410.8,4.8,386,1,Death
2012-2014,UHF42,101,4,Kingsbridge - Riverdale,9.8,10.5,386,1,Death
2012-2014,UHF42,102,4,Northeast Bronx,12.8,6.6,386,1,Death
2012-2014,UHF42,103,4,Fordham - Bronx Pk,10.8,4.2,386,1,Death
2012-2014,UHF42,104,4,Pelham - Throgs Neck,16.8,5.5,386,1,Death
2012-2014,UHF42,105,4,Crotona -Tremont,7.3,3.4,386,1,Death
2012-2014,UHF42,106,4,High Bridge - Morrisania,8,3.7,386,1,Death
2012-2014,UHF42,107,4,Hunts Point - Mott Haven,5.2,3.7,386,1,Death
2012-2014,UHF42,201,4,Greenpoint,4.5,3.5,386,1,Death
2012-2014,UHF42,202,4,Downtown - Heights - Slope,10.1,4.3,386,1,Death
2012-2014,UHF42,203,4,Bedford Stuyvesant - Crown Heights,17.2,5.3,386,1,Death
2012-2014,UHF42,204,4,East New York,7.6,4,386,1,Death
2012-2014,UHF42,205,4,Sunset Park,4.2,3.1,386,1,Death
2012-2014,UHF42,206,4,Borough Park,17.5,5,386,1,Death
2012-2014,UHF42,207,4,East Flatbush - Flatbush,14.3,4.7,386,1,Death
2012-2014,UHF42,208,4,Canarsie - Flatlands,11.7,5.9,386,1,Death
2012-2014,UHF42,209,4,Bensonhurst - Bay Ridge,14.4,6.5,386,1,Death
2012-2014,UHF42,210,4,Coney Island - Sheepshead Bay,24.2,8,386,1,Death
2012-2014,UHF42,211,4,Williamsburg - Bushwick,8.5,3.9,386,1,Death
2012-2014,UHF42,301,4,Washington Heights,9.9,3.9,386,1,Death
2012-2014,UHF42,302,4,Central Harlem - Morningside Heights,7.8,4.7,386,1,Death
2012-2014,UHF42,303,4,East Harlem,6,5.3,386,1,Death
2012-2014,UHF42,304,4,Upper West Side,10.9,4.8,386,1,Death
2012-2014,UHF42,305,4,Upper East Side,9.8,4.3,386,1,Death
2012-2014,UHF42,306,4,Chelsea - Clinton,5.4,3.7,386,1,Death
2012-2014,UHF42,307,4,Gramercy Park - Murray Hill,4.7,3.4,386,1,Death
2012-2014,UHF42,308,4,Greenwich Village - SoHo,2.4,2.8,386,1,Death
2012-2014,UHF42,309,4,Union Square - Lower East Side,9.7,4.7,386,1,Death
2012-2014,UHF42,310,4,Lower Manhattan,1.4,2.5,386,1,Death
2012-2014,UHF42,401,4,Long Island City - Astoria,9.1,4.2,386,1,Death
2012-2014,UHF42,402,4,West Queens,17.2,3.4,386,1,Death
2012-2014,UHF42,403,4,Flushing - Clearview,15.9,5.9,386,1,Death
2012-2014,UHF42,404,4,Bayside - Little Neck,4.3,4.8,386,1,Death
2012-2014,UHF42,405,4,Ridgewood - Forest Hills,14.8,6,386,1,Death
2012-2014,UHF42,406,4,Fresh Meadows,5.4,5.4,386,1,Death
2012-2014,UHF42,407,4,Southwest Queens,11.1,4.1,386,1,Death
2012-2014,UHF42,408,4,Jamaica,16.1,5.4,386,1,Death
2012-2014,UHF42,409,4,Southeast Queens,8.6,4.3,386,1,Death
2012-2014,UHF42,410,4,Rockaways,10.9,9.4,386,1,Death
2012-2014,UHF42,501,4,Port Richmond,3.6,5,386,1,Death
2012-2014,UHF42,502,4,Stapleton - St. George,10,7.9,386,1,Death
2012-2014,UHF42,503,4,Willowbrook,8.4,9.8,386,1,Death
2012-2014,UHF42,504,4,South Beach - Tottenville,13.6,7.2,386,1,Death
2012-2014,Borough,1,1,Bronx,70.7,5,386,1,Death
2012-2014,Borough,2,1,Brooklyn,134.1,5.2,386,1,Death
2012-2014,Borough,3,1,Manhattan,68.1,4.2,386,1,Death
2012-2014,Borough,4,1,Queens,113.5,4.9,386,1,Death
2012-2014,Borough,5,1,Staten Island,35.6,7.5,386,1,Death
2012-2014,Citywide,1,0,New York City,422,5,386,1,Death
2009-2011,UHF42,101,4,Kingsbridge - Riverdale,7.9,8.6,386,1,Death
2009-2011,UHF42,102,4,Northeast Bronx,10.2,5.4,386,1,Death
2009-2011,UHF42,103,4,Fordham - Bronx Pk,10.1,4,386,1,Death
2009-2011,UHF42,104,4,Pelham - Throgs Neck,13.3,4.5,386,1,Death
2009-2011,UHF42,105,4,Crotona -Tremont,5.5,2.7,386,1,Death
2009-2011,UHF42,106,4,High Bridge - Morrisania,5.7,2.8,386,1,Death
2009-2011,UHF42,107,4,Hunts Point - Mott Haven,4.2,3.1,386,1,Death
2009-2011,UHF42,201,4,Greenpoint,4.5,3.6,386,1,Death
2009-2011,UHF42,202,4,Downtown - Heights - Slope,9.4,4.2,386,1,Death
2009-2011,UHF42,203,4,Bedford Stuyvesant - Crown Heights,15.2,4.8,386,1,Death
2009-2011,UHF42,204,4,East New York,6.5,3.5,386,1,Death
2009-2011,UHF42,205,4,Sunset Park,5.3,4.1,386,1,Death
2009-2011,UHF42,206,4,Borough Park,17.8,5.3,386,1,Death
2009-2011,UHF42,207,4,East Flatbush - Flatbush,11.6,3.9,386,1,Death
2009-2011,UHF42,208,4,Canarsie - Flatlands,11.1,5.7,386,1,Death
2009-2011,UHF42,209,4,Bensonhurst - Bay Ridge,15.3,7.2,386,1,Death
2009-2011,UHF42,210,4,Coney Island - Sheepshead Bay,26.5,8.9,386,1,Death
2009-2011,UHF42,211,4,Williamsburg - Bushwick,7.7,3.7,386,1,Death
2009-2011,UHF42,301,4,Washington Heights,7.9,3.2,386,1,Death
2009-2011,UHF42,302,4,Central Harlem - Morningside Heights,7.1,4.3,386,1,Death
2009-2011,UHF42,303,4,East Harlem,5.3,4.7,386,1,Death
2009-2011,UHF42,304,4,Upper West Side,9,4.1,386,1,Death
2009-2011,UHF42,305,4,Upper East Side,9,4,386,1,Death
2009-2011,UHF42,306,4,Chelsea - Clinton,5,3.4,386,1,Death
2009-2011,UHF42,307,4,Gramercy Park - Murray Hill,4.8,3.6,386,1,Death
2009-2011,UHF42,308,4,Greenwich Village - SoHo,2.8,3.4,386,1,Death
2009-2011,UHF42,309,4,Union Square - Lower East Side,7.9,4,386,1,Death
2009-2011,UHF42,310,4,Lower Manhattan,1.5,2.8,386,1,Death
2009-2011,UHF42,401,4,Long Island City - Astoria,7.7,3.5,386,1,Death
2009-2011,UHF42,402,4,West Queens,14.6,3,386,1,Death
2009-2011,UHF42,403,4,Flushing - Clearview,13.9,5.4,386,1,Death
2009-2011,UHF42,404,4,Bayside - Little Neck,3.9,4.5,386,1,Death
2009-2011,UHF42,405,4,Ridgewood - Forest Hills,13.5,5.5,386,1,Death
2009-2011,UHF42,406,4,Fresh Meadows,4.6,4.8,386,1,Death
2009-2011,UHF42,407,4,Southwest Queens,10.7,4,386,1,Death
2009-2011,UHF42,408,4,Jamaica,15.1,5.2,386,1,Death
2009-2011,UHF42,409,4,Southeast Queens,8.5,4.3,386,1,Death
2009-2011,UHF42,410,4,Rockaways,10.4,9,386,1,Death
2009-2011,UHF42,501,4,Port Richmond,4,5.7,386,1,Death
2009-2011,UHF42,502,4,Stapleton - St. George,10.3,8.4,386,1,Death
2009-2011,UHF42,503,4,Willowbrook,8.3,9.7,386,1,Death
2009-2011,UHF42,504,4,South Beach - Tottenville,13.8,7.3,386,1,Death
2009-2011,Borough,1,1,Bronx,57.1,4.1,386,1,Death
2009-2011,Borough,2,1,Brooklyn,131,5.2,386,1,Death
2009-2011,Borough,3,1,Manhattan,60.3,3.8,386,1,Death
2009-2011,Borough,4,1,Queens,102.9,4.5,386,1,Death
2009-2011,Borough,5,1,Staten Island,36.5,7.8,386,1,Death
2009-2011,Citywide,1,0,New York City,387.7,4.7,386,1,Death
2005-2007,UHF42,101,4,Kingsbridge - Riverdale,8.4,9.9,386,1,Death
2005-2007,UHF42,102,4,Northeast Bronx,10,5.4,386,1,Death
2005-2007,UHF42,103,4,Fordham - Bronx Pk,8.4,3.3,386,1,Death
2005-2007,UHF42,104,4,Pelham - Throgs Neck,12.8,4.4,386,1,Death
2005-2007,UHF42,105,4,Crotona -Tremont,4.9,2.4,386,1,Death
2005-2007,UHF42,106,4,High Bridge - Morrisania,5.6,2.8,386,1,Death
2005-2007,UHF42,107,4,Hunts Point - Mott Haven,3.3,2.5,386,1,Death
2005-2007,UHF42,201,4,Greenpoint,4.5,3.5,386,1,Death
2005-2007,UHF42,202,4,Downtown - Heights - Slope,10.7,4.9,386,1,Death
2005-2007,UHF42,203,4,Bedford Stuyvesant - Crown Heights,16.6,5.3,386,1,Death
2005-2007,UHF42,204,4,East New York,6.2,3.5,386,1,Death
2005-2007,UHF42,205,4,Sunset Park,4.7,3.8,386,1,Death
2005-2007,UHF42,206,4,Borough Park,21.6,6.4,386,1,Death
2005-2007,UHF42,207,4,East Flatbush - Flatbush,12.7,4.1,386,1,Death
2005-2007,UHF42,208,4,Canarsie - Flatlands,11,5.6,386,1,Death
2005-2007,UHF42,209,4,Bensonhurst - Bay Ridge,16.4,8.1,386,1,Death
2005-2007,UHF42,210,4,Coney Island - Sheepshead Bay,28.4,9.6,386,1,Death
2005-2007,UHF42,211,4,Williamsburg - Bushwick,7.9,4,386,1,Death
2005-2007,UHF42,301,4,Washington Heights,8.3,3.1,386,1,Death
2005-2007,UHF42,302,4,Central Harlem - Morningside Heights,7.3,5,386,1,Death
2005-2007,UHF42,303,4,East Harlem,5.1,4.7,386,1,Death
2005-2007,UHF42,304,4,Upper West Side,9.9,4.2,386,1,Death
2005-2007,UHF42,305,4,Upper East Side,9.6,4,386,1,Death
2005-2007,UHF42,306,4,Chelsea - Clinton,5.4,4,386,1,Death
2005-2007,UHF42,307,4,Gramercy Park - Murray Hill,4.3,3.2,386,1,Death
2005-2007,UHF42,308,4,Greenwich Village - SoHo,2.8,3.1,386,1,Death
2005-2007,UHF42,309,4,Union Square - Lower East Side,8.3,3.9,386,1,Death
2005-2007,UHF42,310,4,Lower Manhattan,1.3,3.8,386,1,Death
2005-2007,UHF42,401,4,Long Island City - Astoria,8.4,3.8,386,1,Death
2005-2007,UHF42,402,4,West Queens,14.9,3,386,1,Death
2005-2007,UHF42,403,4,Flushing - Clearview,13.4,5,386,1,Death
2005-2007,UHF42,404,4,Bayside - Little Neck,4.2,4.8,386,1,Death
2005-2007,UHF42,405,4,Ridgewood - Forest Hills,15.7,6.7,386,1,Death
2005-2007,UHF42,406,4,Fresh Meadows,4.6,4.9,386,1,Death
2005-2007,UHF42,407,4,Southwest Queens,10.5,3.9,386,1,Death
2005-2007,UHF42,408,4,Jamaica,15.8,5.5,386,1,Death
2005-2007,UHF42,409,4,Southeast Queens,8.6,4.3,386,1,Death
2005-2007,UHF42,410,4,Rockaways,12.5,11.7,386,1,Death
2005-2007,UHF42,501,4,Port Richmond,3.9,5.6,386,1,Death
2005-2007,UHF42,502,4,Stapleton - St. George,11,8.7,386,1,Death
2005-2007,UHF42,503,4,Willowbrook,8.3,9.3,386,1,Death
2005-2007,UHF42,504,4,South Beach - Tottenville,14,7.5,386,1,Death
2005-2007,Borough,1,1,Bronx,53.5,3.9,386,1,Death
2005-2007,Borough,2,1,Brooklyn,140.8,5.6,386,1,Death
2005-2007,Borough,3,1,Manhattan,62.3,3.9,386,1,Death
2005-2007,Borough,4,1,Queens,108.7,4.8,386,1,Death
2005-2007,Borough,5,1,Staten Island,37.2,7.8,386,1,Death
2005-2007,Citywide,1,0,New York City,402.6,4.9,386,1,Death
