TimePeriod,GeoType,GeoID,GeoRank,Geography,Estimated annual number,"Estimated annual rate (age 30+) per 100,000 adults",IndicatorID,ResultID,Result
2017-2019,UHF42,101,4,Kingsbridge - Riverdale,32,50,365,1,Death
2017-2019,UHF42,102,4,Northeast Bronx,52,39,365,1,Death
2017-2019,UHF42,103,4,Fordham - Bronx Pk,52,35,365,1,Death
2017-2019,UHF42,104,4,Pelham - Throgs Neck,69,37,365,1,Death
2017-2019,UHF42,105,4,Crotona -Tremont,40,34,365,1,Death
2017-2019,UHF42,106,4,High Bridge - Morrisania,45,37,365,1,Death
2017-2019,UHF42,107,4,Hunts Point - Mott Haven,30,39,365,1,Death
2017-2019,UHF42,201,4,Greenpoint,20,33,365,1,Death
2017-2019,UHF42,202,4,Downtown - Heights - Slope,42,24,365,1,Death
2017-2019,UHF42,203,4,Bedford Stuyvesant - Crown Heights,76,37,365,1,Death
2017-2019,UHF42,204,4,East New York,38,34,365,1,Death
2017-2019,UHF42,205,4,Sunset Park,19,27,365,1,Death
2017-2019,UHF42,206,4,Borough Park,67,36,365,1,Death
2017-2019,UHF42,207,4,East Flatbush - Flatbush,65,34,365,1,Death
2017-2019,UHF42,208,4,Canarsie - Flatlands,51,37,365,1,Death
2017-2019,UHF42,209,4,Bensonhurst - Bay Ridge,50,36,365,1,Death
2017-2019,UHF42,210,4,Coney Island - Sheepshead Bay,94,47,365,1,Death
2017-2019,UHF42,211,4,Williamsburg - Bushwick,38,32,365,1,Death
2017-2019,UHF42,301,4,Washington Heights,48,28,365,1,Death
2017-2019,UHF42,302,4,Central Harlem - Morningside Heights,43,38,365,1,Death
2017-2019,UHF42,303,4,East Harlem,32,45,365,1,Death
2017-2019,UHF42,304,4,Upper West Side,55,35,365,1,Death
2017-2019,UHF42,305,4,Upper East Side,50,32,365,1,Death
2017-2019,UHF42,306,4,Chelsea - Clinton,31,26,365,1,Death
2017-2019,UHF42,307,4,Gramercy Park - Murray Hill,29,30,365,1,Death
2017-2019,UHF42,308,4,Greenwich Village - SoHo,15,26,365,1,Death
2017-2019,UHF42,309,4,Union Square - Lower East Side,53,42,365,1,Death
2017-2019,UHF42,310,4,Lower Manhattan,9,23,365,1,Death
2017-2019,UHF42,401,4,Long Island City - Astoria,37,27,365,1,Death
2017-2019,UHF42,402,4,West Queens,71,24,365,1,Death
2017-2019,UHF42,403,4,Flushing - Clearview,55,30,365,1,Death
2017-2019,UHF42,404,4,Bayside - Little Neck,15,24,365,1,Death
2017-2019,UHF42,405,4,Ridgewood - Forest Hills,50,28,365,1,Death
2017-2019,UHF42,406,4,Fresh Meadows,16,25,365,1,Death
2017-2019,UHF42,407,4,Southwest Queens,47,26,365,1,Death
2017-2019,UHF42,408,4,Jamaica,58,28,365,1,Death
2017-2019,UHF42,409,4,Southeast Queens,33,22,365,1,Death
2017-2019,UHF42,410,4,Rockaways,36,44,365,1,Death
2017-2019,UHF42,501,4,Port Richmond,16,38,365,1,Death
2017-2019,UHF42,502,4,Stapleton - St. George,37,47,365,1,Death
2017-2019,UHF42,503,4,Willowbrook,26,42,365,1,Death
2017-2019,UHF42,504,4,South Beach - Tottenville,55,42,365,1,Death
2017-2019,Borough,1,1,Bronx,320,37,365,1,Death
2017-2019,Borough,2,1,Brooklyn,561,35,365,1,Death
2017-2019,Borough,3,1,Manhattan,365,33,365,1,Death
2017-2019,Borough,4,1,Queens,418,27,365,1,Death
2017-2019,Borough,5,1,Staten Island,134,43,365,1,Death
2017-2019,Citywide,1,0,New York City,"1,798.00",33,365,1,Death
2015-2017,UHF42,101,4,Kingsbridge - Riverdale,38.2,63,365,1,Death
2015-2017,UHF42,102,4,Northeast Bronx,60.3,47.3,365,1,Death
2015-2017,UHF42,103,4,Fordham - Bronx Pk,57.9,41.4,365,1,Death
2015-2017,UHF42,104,4,Pelham - Throgs Neck,78.4,42.8,365,1,Death
2015-2017,UHF42,105,4,Crotona -Tremont,43.5,38.4,365,1,Death
2015-2017,UHF42,106,4,High Bridge - Morrisania,50.3,43,365,1,Death
2015-2017,UHF42,107,4,Hunts Point - Mott Haven,33.8,45.4,365,1,Death
2015-2017,UHF42,201,4,Greenpoint,21.9,29.9,365,1,Death
2015-2017,UHF42,202,4,Downtown - Heights - Slope,42.8,26.5,365,1,Death
2015-2017,UHF42,203,4,Bedford Stuyvesant - Crown Heights,80.5,41.8,365,1,Death
2015-2017,UHF42,204,4,East New York,38.1,37.1,365,1,Death
2015-2017,UHF42,205,4,Sunset Park,21,28,365,1,Death
2015-2017,UHF42,206,4,Borough Park,73.8,39.2,365,1,Death
2015-2017,UHF42,207,4,East Flatbush - Flatbush,67.6,36.2,365,1,Death
2015-2017,UHF42,208,4,Canarsie - Flatlands,52.3,40,365,1,Death
2015-2017,UHF42,209,4,Bensonhurst - Bay Ridge,55.7,40.5,365,1,Death
2015-2017,UHF42,210,4,Coney Island - Sheepshead Bay,101.6,53.1,365,1,Death
2015-2017,UHF42,211,4,Williamsburg - Bushwick,40.6,34.7,365,1,Death
2015-2017,UHF42,301,4,Washington Heights,55.7,33.2,365,1,Death
2015-2017,UHF42,302,4,Central Harlem - Morningside Heights,47.3,45.4,365,1,Death
2015-2017,UHF42,303,4,East Harlem,36.8,54.2,365,1,Death
2015-2017,UHF42,304,4,Upper West Side,62.4,40.5,365,1,Death
2015-2017,UHF42,305,4,Upper East Side,55,35.4,365,1,Death
2015-2017,UHF42,306,4,Chelsea - Clinton,34.5,31.7,365,1,Death
2015-2017,UHF42,307,4,Gramercy Park - Murray Hill,31,35.7,365,1,Death
2015-2017,UHF42,308,4,Greenwich Village - SoHo,14.5,25.5,365,1,Death
2015-2017,UHF42,309,4,Union Square - Lower East Side,56.5,45.1,365,1,Death
2015-2017,UHF42,310,4,Lower Manhattan,9.7,27.3,365,1,Death
2015-2017,UHF42,401,4,Long Island City - Astoria,42.6,31.4,365,1,Death
2015-2017,UHF42,402,4,West Queens,78.5,27.1,365,1,Death
2015-2017,UHF42,403,4,Flushing - Clearview,65.8,36.1,365,1,Death
2015-2017,UHF42,404,4,Bayside - Little Neck,18.6,29.7,365,1,Death
2015-2017,UHF42,405,4,Ridgewood - Forest Hills,58.8,34.7,365,1,Death
2015-2017,UHF42,406,4,Fresh Meadows,19.6,30.7,365,1,Death
2015-2017,UHF42,407,4,Southwest Queens,49.6,27.6,365,1,Death
2015-2017,UHF42,408,4,Jamaica,62.5,31.7,365,1,Death
2015-2017,UHF42,409,4,Southeast Queens,36.6,26.3,365,1,Death
2015-2017,UHF42,410,4,Rockaways,37,50.2,365,1,Death
2015-2017,UHF42,501,4,Port Richmond,15.8,41.9,365,1,Death
2015-2017,UHF42,502,4,Stapleton - St. George,38.1,50,365,1,Death
2015-2017,UHF42,503,4,Willowbrook,28,48.4,365,1,Death
2015-2017,UHF42,504,4,South Beach - Tottenville,57.7,45.9,365,1,Death
2015-2017,Borough,1,1,Bronx,362.4,44.4,365,1,Death
2015-2017,Borough,2,1,Brooklyn,596,38.3,365,1,Death
2015-2017,Borough,3,1,Manhattan,403.3,38,365,1,Death
2015-2017,Borough,4,1,Queens,469.7,31.4,365,1,Death
2015-2017,Borough,5,1,Staten Island,139.7,46.9,365,1,Death
2015-2017,Citywide,1,0,New York City,"1,971.00",37.7,365,1,Death
2012-2014,UHF42,101,4,Kingsbridge - Riverdale,40.8,69.4,365,1,Death
2012-2014,UHF42,102,4,Northeast Bronx,56.7,47.9,365,1,Death
2012-2014,UHF42,103,4,Fordham - Bronx Pk,59.3,43.5,365,1,Death
2012-2014,UHF42,104,4,Pelham - Throgs Neck,80.4,45.4,365,1,Death
2012-2014,UHF42,105,4,Crotona -Tremont,45.8,42.6,365,1,Death
2012-2014,UHF42,106,4,High Bridge - Morrisania,53,47.6,365,1,Death
2012-2014,UHF42,107,4,Hunts Point - Mott Haven,32.9,46.5,365,1,Death
2012-2014,UHF42,201,4,Greenpoint,25.2,37.1,365,1,Death
2012-2014,UHF42,202,4,Downtown - Heights - Slope,51.7,36,365,1,Death
2012-2014,UHF42,203,4,Bedford Stuyvesant - Crown Heights,82.6,45.5,365,1,Death
2012-2014,UHF42,204,4,East New York,38.5,38.6,365,1,Death
2012-2014,UHF42,205,4,Sunset Park,22.9,30.9,365,1,Death
2012-2014,UHF42,206,4,Borough Park,78.3,42.1,365,1,Death
2012-2014,UHF42,207,4,East Flatbush - Flatbush,66.8,37.3,365,1,Death
2012-2014,UHF42,208,4,Canarsie - Flatlands,47.9,39.5,365,1,Death
2012-2014,UHF42,209,4,Bensonhurst - Bay Ridge,58.5,41.3,365,1,Death
2012-2014,UHF42,210,4,Coney Island - Sheepshead Bay,96.7,49.6,365,1,Death
2012-2014,UHF42,211,4,Williamsburg - Bushwick,44.8,41.1,365,1,Death
2012-2014,UHF42,301,4,Washington Heights,59,38.9,365,1,Death
2012-2014,UHF42,302,4,Central Harlem - Morningside Heights,49.8,53.1,365,1,Death
2012-2014,UHF42,303,4,East Harlem,37.4,57.9,365,1,Death
2012-2014,UHF42,304,4,Upper West Side,68.4,44.1,365,1,Death
2012-2014,UHF42,305,4,Upper East Side,67.4,43.4,365,1,Death
2012-2014,UHF42,306,4,Chelsea - Clinton,40.7,40.2,365,1,Death
2012-2014,UHF42,307,4,Gramercy Park - Murray Hill,40.1,45.2,365,1,Death
2012-2014,UHF42,308,4,Greenwich Village - SoHo,18,31.7,365,1,Death
2012-2014,UHF42,309,4,Union Square - Lower East Side,60,47.3,365,1,Death
2012-2014,UHF42,310,4,Lower Manhattan,11,34.4,365,1,Death
2012-2014,UHF42,401,4,Long Island City - Astoria,42,31.6,365,1,Death
2012-2014,UHF42,402,4,West Queens,79.5,26.3,365,1,Death
2012-2014,UHF42,403,4,Flushing - Clearview,66.9,36.5,365,1,Death
2012-2014,UHF42,404,4,Bayside - Little Neck,17.4,28.4,365,1,Death
2012-2014,UHF42,405,4,Ridgewood - Forest Hills,63.1,39,365,1,Death
2012-2014,UHF42,406,4,Fresh Meadows,21.3,35.2,365,1,Death
2012-2014,UHF42,407,4,Southwest Queens,47.8,29.3,365,1,Death
2012-2014,UHF42,408,4,Jamaica,64.7,36.5,365,1,Death
2012-2014,UHF42,409,4,Southeast Queens,34.6,27.4,365,1,Death
2012-2014,UHF42,410,4,Rockaways,33.1,49.5,365,1,Death
2012-2014,UHF42,501,4,Port Richmond,16.1,41.1,365,1,Death
2012-2014,UHF42,502,4,Stapleton - St. George,37.5,49.6,365,1,Death
2012-2014,UHF42,503,4,Willowbrook,31.7,57.2,365,1,Death
2012-2014,UHF42,504,4,South Beach - Tottenville,53.9,44.7,365,1,Death
2012-2014,Borough,1,1,Bronx,368.9,47.3,365,1,Death
2012-2014,Borough,2,1,Brooklyn,614,41,365,1,Death
2012-2014,Borough,3,1,Manhattan,451.8,44,365,1,Death
2012-2014,Borough,4,1,Queens,470.5,32.8,365,1,Death
2012-2014,Borough,5,1,Staten Island,139.3,47.8,365,1,Death
2012-2014,Citywide,1,0,New York City,"2,044.50",40.6,365,1,Death
2009-2011,UHF42,101,4,Kingsbridge - Riverdale,45.4,0,365,1,Death
2009-2011,UHF42,102,4,Northeast Bronx,65.3,0,365,1,Death
2009-2011,UHF42,103,4,Fordham - Bronx Pk,64.5,0,365,1,Death
2009-2011,UHF42,104,4,Pelham - Throgs Neck,93.6,0,365,1,Death
2009-2011,UHF42,105,4,Crotona -Tremont,48.3,0,365,1,Death
2009-2011,UHF42,106,4,High Bridge - Morrisania,58.8,0,365,1,Death
2009-2011,UHF42,107,4,Hunts Point - Mott Haven,39.2,0,365,1,Death
2009-2011,UHF42,201,4,Greenpoint,29.7,0,365,1,Death
2009-2011,UHF42,202,4,Downtown - Heights - Slope,55.4,0,365,1,Death
2009-2011,UHF42,203,4,Bedford Stuyvesant - Crown Heights,98.5,0,365,1,Death
2009-2011,UHF42,204,4,East New York,44.3,0,365,1,Death
2009-2011,UHF42,205,4,Sunset Park,27,0,365,1,Death
2009-2011,UHF42,206,4,Borough Park,88.4,0,365,1,Death
2009-2011,UHF42,207,4,East Flatbush - Flatbush,74.5,0,365,1,Death
2009-2011,UHF42,208,4,Canarsie - Flatlands,58.2,0,365,1,Death
2009-2011,UHF42,209,4,Bensonhurst - Bay Ridge,72.8,0,365,1,Death
2009-2011,UHF42,210,4,Coney Island - Sheepshead Bay,120.8,0,365,1,Death
2009-2011,UHF42,211,4,Williamsburg - Bushwick,52.5,0,365,1,Death
2009-2011,UHF42,301,4,Washington Heights,66.8,0,365,1,Death
2009-2011,UHF42,302,4,Central Harlem - Morningside Heights,58.1,0,365,1,Death
2009-2011,UHF42,303,4,East Harlem,43.3,0,365,1,Death
2009-2011,UHF42,304,4,Upper West Side,72.9,0,365,1,Death
2009-2011,UHF42,305,4,Upper East Side,67.6,0,365,1,Death
2009-2011,UHF42,306,4,Chelsea - Clinton,38.6,0,365,1,Death
2009-2011,UHF42,307,4,Gramercy Park - Murray Hill,40.6,0,365,1,Death
2009-2011,UHF42,308,4,Greenwich Village - SoHo,22.3,0,365,1,Death
2009-2011,UHF42,309,4,Union Square - Lower East Side,70.6,0,365,1,Death
2009-2011,UHF42,310,4,Lower Manhattan,11.1,0,365,1,Death
2009-2011,UHF42,401,4,Long Island City - Astoria,52.8,0,365,1,Death
2009-2011,UHF42,402,4,West Queens,96.3,0,365,1,Death
2009-2011,UHF42,403,4,Flushing - Clearview,76,0,365,1,Death
2009-2011,UHF42,404,4,Bayside - Little Neck,20.5,0,365,1,Death
2009-2011,UHF42,405,4,Ridgewood - Forest Hills,72.8,0,365,1,Death
2009-2011,UHF42,406,4,Fresh Meadows,25.3,0,365,1,Death
2009-2011,UHF42,407,4,Southwest Queens,58.1,0,365,1,Death
2009-2011,UHF42,408,4,Jamaica,72.1,0,365,1,Death
2009-2011,UHF42,409,4,Southeast Queens,41.8,0,365,1,Death
2009-2011,UHF42,410,4,Rockaways,45.9,0,365,1,Death
2009-2011,UHF42,501,4,Port Richmond,18.6,0,365,1,Death
2009-2011,UHF42,502,4,Stapleton - St. George,39.9,0,365,1,Death
2009-2011,UHF42,503,4,Willowbrook,31.6,0,365,1,Death
2009-2011,UHF42,504,4,South Beach - Tottenville,57.5,0,365,1,Death
2009-2011,Borough,1,1,Bronx,415,55,365,1,Death
2009-2011,Borough,2,1,Brooklyn,722,50.1,365,1,Death
2009-2011,Borough,3,1,Manhattan,492,50,365,1,Death
2009-2011,Borough,4,1,Queens,561.5,40.5,365,1,Death
2009-2011,Borough,5,1,Staten Island,147.7,51.7,365,1,Death
2009-2011,Citywide,1,0,New York City,"2,338.20",48.2,365,1,Death
2005-2007,UHF42,101,4,Kingsbridge - Riverdale,63.9,0,365,1,Death
2005-2007,UHF42,102,4,Northeast Bronx,86.7,0,365,1,Death
2005-2007,UHF42,103,4,Fordham - Bronx Pk,86.3,0,365,1,Death
2005-2007,UHF42,104,4,Pelham - Throgs Neck,123.9,0,365,1,Death
2005-2007,UHF42,105,4,Crotona -Tremont,64.7,0,365,1,Death
2005-2007,UHF42,106,4,High Bridge - Morrisania,82.6,0,365,1,Death
2005-2007,UHF42,107,4,Hunts Point - Mott Haven,45.2,0,365,1,Death
2005-2007,UHF42,201,4,Greenpoint,42.2,0,365,1,Death
2005-2007,UHF42,202,4,Downtown - Heights - Slope,78,0,365,1,Death
2005-2007,UHF42,203,4,Bedford Stuyvesant - Crown Heights,135,0,365,1,Death
2005-2007,UHF42,204,4,East New York,57.5,0,365,1,Death
2005-2007,UHF42,205,4,Sunset Park,33.9,0,365,1,Death
2005-2007,UHF42,206,4,Borough Park,126.3,0,365,1,Death
2005-2007,UHF42,207,4,East Flatbush - Flatbush,95.6,0,365,1,Death
2005-2007,UHF42,208,4,Canarsie - Flatlands,72.4,0,365,1,Death
2005-2007,UHF42,209,4,Bensonhurst - Bay Ridge,97.5,0,365,1,Death
2005-2007,UHF42,210,4,Coney Island - Sheepshead Bay,159.1,0,365,1,Death
2005-2007,UHF42,211,4,Williamsburg - Bushwick,72,0,365,1,Death
2005-2007,UHF42,301,4,Washington Heights,91.4,0,365,1,Death
2005-2007,UHF42,302,4,Central Harlem - Morningside Heights,85.9,0,365,1,Death
2005-2007,UHF42,303,4,East Harlem,60.1,0,365,1,Death
2005-2007,UHF42,304,4,Upper West Side,99.7,0,365,1,Death
2005-2007,UHF42,305,4,Upper East Side,94.3,0,365,1,Death
2005-2007,UHF42,306,4,Chelsea - Clinton,57.2,0,365,1,Death
2005-2007,UHF42,307,4,Gramercy Park - Murray Hill,50.8,0,365,1,Death
2005-2007,UHF42,308,4,Greenwich Village - SoHo,29.3,0,365,1,Death
2005-2007,UHF42,309,4,Union Square - Lower East Side,93.1,0,365,1,Death
2005-2007,UHF42,310,4,Lower Manhattan,13.3,0,365,1,Death
2005-2007,UHF42,401,4,Long Island City - Astoria,74.2,0,365,1,Death
2005-2007,UHF42,402,4,West Queens,133.9,0,365,1,Death
2005-2007,UHF42,403,4,Flushing - Clearview,98.6,0,365,1,Death
2005-2007,UHF42,404,4,Bayside - Little Neck,29.8,0,365,1,Death
2005-2007,UHF42,405,4,Ridgewood - Forest Hills,111.2,0,365,1,Death
2005-2007,UHF42,406,4,Fresh Meadows,31,0,365,1,Death
2005-2007,UHF42,407,4,Southwest Queens,79,0,365,1,Death
2005-2007,UHF42,408,4,Jamaica,99.7,0,365,1,Death
2005-2007,UHF42,409,4,Southeast Queens,53.5,0,365,1,Death
2005-2007,UHF42,410,4,Rockaways,63.1,0,365,1,Death
2005-2007,UHF42,501,4,Port Richmond,25.2,0,365,1,Death
2005-2007,UHF42,502,4,Stapleton - St. George,60.5,0,365,1,Death
2005-2007,UHF42,503,4,Willowbrook,41.4,0,365,1,Death
2005-2007,UHF42,504,4,South Beach - Tottenville,75.8,0,365,1,Death
2005-2007,Borough,1,1,Bronx,553.3,76.5,365,1,Death
2005-2007,Borough,2,1,Brooklyn,969.5,67.8,365,1,Death
2005-2007,Borough,3,1,Manhattan,675.2,64,365,1,Death
2005-2007,Borough,4,1,Queens,774.1,54.8,365,1,Death
2005-2007,Borough,5,1,Staten Island,202.9,70.7,365,1,Death
2005-2007,Citywide,1,0,New York City,"3,175.00",64.7,365,1,Death
